id,title,context,question,answers
81,Community Involv,"United Airlines has been named to the Civic 50 Index, which recognizes companies for their commitment to community involvement and social responsibility. The airline has implemented several initiatives to support the communities it serves, such as disaster relief efforts and volunteer programs. In addition to its commitment to social responsibility, United has set a goal of achieving net-zero emissions by 2050, through a combination of fuel efficiency improvements, sustainable aviation fuel adoption, and carbon offsets. The airline has also implemented several measures to reduce its greenhouse gas emissions, such as investing in more fuel-efficient planes and using sustainable aviation fuel.",What is an airline's community involvement score?,"{'answer_start': [-1], 'text': ['100% on Civic 50 Index']}"
82,controversy total count,"The controversy total count was 0.008138807.Controversies can have a significant impact on an airline's financial performance, as well as its reputation and public trust. Negative publicity and public criticism can lead to a decline in passenger bookings and revenue, and can also impact an airline's relationships with regulators and other stakeholders.",what was the controversy total count for EASYJET PLC? ,"{'answer_start': [32], 'text': ['0.008138807']}"
83,Gender Pay Gap,"Frontier Airlines has a gender pay gap of 1%, which is significantly lower than the industry average. The airline has implemented several initiatives to promote diversity and inclusion, such as offering employee resource groups and conducting unconscious bias training. In addition to its social responsibility initiatives, Frontier has set a goal of achieving carbon neutrality for its global operations by 2050, through a combination of fuel efficiency improvements, sustainable aviation fuel adoption, and carbon offsets. The airline has also implemented several measures to reduce its greenhouse gas emissions, such as investing in more fuel-efficient planes and using sustainable aviation fuel.",What is an airline's gender pay gap?,"{'answer_start': [-1], 'text': ['0.01']}"
84,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 829.7.Carbon emissions from airlines are not just an environmental issue, but also a business issue. As consumers become more environmentally conscious, airlines that prioritize sustainability and reduce their carbon emissions may have a competitive advantage in the marketplace. Additionally, some investors and financial institutions are beginning to consider carbon emissions when making investment decisions.",What is the Scope 1+2 Carbon Emissions for SKYMILES?,"{'answer_start': [34], 'text': ['829.7']}"
85,CO2,"United Airlines reported in 2021 that their total Scope 1 and 2 CO2 emissions were 21.9 million metric tons, resulting in an average of 53 kg per passenger.",How much CO2 does the airline emit per passenger?,"{'answer_start': [136], 'text': ['53 kg']}"
86,giving,"The ISPCC directly provides a range of services to children and families, and advocates for change to enhance the lives of children in Ireland. Ryanair commenced its partnership with ISPCC Childline five years ago and has fundraised more than €500,000 to date. Over the years, we have engaged in a number of initiatives to support the work of the charity, ensuring that Childline can continue listening to children 24 hours a day, every day. The ISPCC and Ryanair work in collaboration on a number of campaigns and competitions to help make the protection of children everybody’s priority. €500k in 5 years raised for the ISPCC. Continuation of ISPCC’s essential Childline services is now also online thanks to Ryanair funds. We have worked with Pequeño Deseo for more than five years, first as one of our scratch card charity partners and since 2019, as chosen European charity partner. We believe in giving back to organisations that need further funding and awareness, and we're proud to help the charity bring a smile to sick children throughout Spain. We and our customers will support key awareness initiatives throughout the year across Spain and Europe. €400k in 5 years raised for Pequeño Deseo In 2019, Ryanair nominated the FAI’s Cerebral Palsy Football Team as a charity partner and flew the Irish team to Seville for the World Cup tournament through the Ryanair Scratch Card Charity Partnership fund. The FAI’s Football for All programme provided opportunities for over 3,500 players to play football in their local communities and Ireland’s CP team was one of nine international disability player pathways that ensured players of all abilities would have the chance to don the green jersey. We make regular donations to various charities from the proceeds of our Ryanair Scratch Cards, available on board our flights. In 2017, we established the Ryanair Foundation to work with selected charitable partners and educational projects across Europe. Between 2008 and 2020, almost €10m has been contributed to various charities across Europe, thanks to Ryanair Scratch Cards.",how much is (was) global giving?,"{'answer_start': [590], 'text': ['€500k in 5 years raised for the ISPCC']}"
87,aircraft certified / Chapter 5 noise limits,"In addition, this aircraft type gains points for low emissions values and less noise emission.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['No answer exists']}"
88,giving,The bottom line is that the association has invested almost 10.5 million euros for humanitarian pur- poses over the past 15 years.,how much is (was) global giving?,"{'answer_start': [-1], 'text': ['10.5 million over the past 15 years']}"
89,SGD Revenue,"""As we look to the rest of the year, we have taken proactive steps to build additional buffer into our schedule and will continue to limit capacity to the resources we have and the operating conditions we face,"". The SGD Revenue is 100 %.",what is the SGD Revenue % for GRUPO AEROMEXICO SAB DE CV?,"{'answer_start': [232], 'text': ['100']}"
90,employee injuries,3.7 work-related injuries per 1 million working hours,How many injuries did employees sustain in 2021?,"{'answer_start': [0], 'text': ['3.7']}"
